Sample ID,ReferenceIntensity
P04217,28.716163031489536
Q9NQ94,24.59286252886988
P01023,29.94121035168958
A8K2U0,21.8813559952768
Q9NPC4,16.076463064465763
Q9UNA3,19.073951598710003
Q9NRG9,22.97440489912116
Q86V21,24.15030601808037
P22760,23.22815950324861
Q8N5Z0,14.500564703707129
Q6PD74,24.087873331281845
Q2M2I8,24.88645576523262
Q9H7C9,25.864569919361085
Q13685,24.77742300977184
Q9Y312,23.37522443110332
P49588,28.602753353824085
Q5JTZ9,24.39760779689908
Q9BTE6,24.40337648902117
Q4L235,18.089126699001017
Q9NRN7,24.572023510817367
Q9UDR5,24.36625615236393
Q9NY61,24.130414318826137
Q6ZMQ8,16.52886489921773
P80404,28.503988483969888
O95477,22.604718914393207
Q86UK0,20.725594781576703
Q9BZC7,20.223886888233874
Q8N139,22.178308414746315
Q8IZY2,16.944961361775132
O94911,22.8367244545598
Q8IUA7,14.0261340852433
P08183,23.60819166607892
Q9NRK6,22.2049289852442
Q9NP58,22.8003323020872
O75027,23.233065041317683
Q9NUT2,22.887160815952143
P33527,24.932188903001936
Q5T3U5,20.068459702390783
Q96J66,18.669420803001994
Q92887,21.02814429552354
O15438,24.407364495916664
O15439,24.379561252543265
O15440,15.304366432508177
Q09428,14.59496560236365
O60706,19.67514547441718
P33897,23.91941685575292
P28288,25.88305861583367
O14678,20.12639830514235
P61221,26.97352309598204
Q8NE71,26.11082253352271
Q9UG63,25.21175776945501
Q9NUQ8,25.48285072001322
P45844,23.05121013771205
Q9UNQ0,19.014389224420533
Q9NUJ1,25.98607692063798
Q8NFV4,26.00133514260641
Q8N2K0,24.313530286300136
Q7L211,19.202821339295067
Q96IU4,27.60909229073656
Q6UXT9,18.62755874031336
O95870,23.8541639090903
Q96GS6,18.34023493549936
Q5VST6,20.68792779153153
Q6PCB6,20.648650132298595
Q0P651,15.15686110135946
P08910,20.32305392876536
Q8WU67,19.61851181875784
Q8TB40,20.2919117723904
Q8WTS1,22.969621835019336
Q9BV23,22.135804254644444
Q8IZP0,25.51532244109669
Q9NYB9,23.060201356534296
Q9P2A4,24.04229715434874
Q7Z7G0,26.20203615287555
Q9NX38,19.62250276173004
P00519,23.268176070448533
P42684,23.94485446435483
O14639,26.45264180886661
Q6H8Q1,23.40171986350779
O94929,22.56219644746607
P16442,19.610885297767368
Q12979,25.53299461321168
Q9P1F3,24.840632595606543
Q6UWZ7,23.1006782770549
Q15018,24.383284942487336
Q9ULW3,22.273625035019016
Q8N961,20.26002708045776
A6QL63,16.941444114524263
P09110,26.61879607486289
P42765,28.186351071017103
Q13085,24.99045131576059
O00763,22.241457662726788
Q6JQN1,22.877094023633795
Q709F0,22.654402100449666
Q9UKU7,25.024144590926326
Q9H845,26.25997187781401
P28330,24.96448410232095
P11310,27.178469356387403
P16219,26.03870986517562
P45954,25.41867224475054
P49748,28.03369607749859
P16112,22.35761150527436
Q15027,23.68200371608616
Q15057,26.19173847285004
Q96P50,20.59120612978822
P24752,29.196435547662063
Q9BWD1,25.86681606422292
Q9H3P7,26.169984885830857
Q8NC06,16.885832177373462
Q5T8D3,25.702273232156337
Q9BR61,23.91973751229136
Q8N6N7,18.58548489987147
Q96QU6,15.784474474790878
Q96AP0,23.759897270680217
P12821,25.67770677124811
Q9BYF1,22.561450826478524
P22303,13.758655027486745
Q9UKV3,26.95979531647009
Q16570,12.053868087239492
P53396,27.958482608888733
P21399,28.05914104538152
Q99798,28.54243388295819
Q8WXI4,24.718698927968564
Q9NPJ3,26.003332489808045
P49753,25.634413398966867
Q8N9L9,18.693705526845267
Q3I5F7,18.375184521093647
O00154,26.110502776345093
O14734,23.40416706756737
Q9Y305,26.2330016397684
Q15067,26.019802211564866
Q99424,23.33144338284975
O15254,24.845383901059616
P24666,25.761245302620203
P11117,25.251380850746845
P15309,21.20489331357807
P13686,22.625102737014075
Q9NPH0,23.63437379508932
Q96CM8,25.443004339759664
Q4G176,25.438817250115253
P33121,26.38701484423705
O95573,25.654774917599
O60488,25.142701518098995
Q9ULC5,26.639977174765985
Q9UKU0,15.141828391126506
Q53FZ2,24.130572677922657
Q6NUN0,15.828206407053136
Q6P461,20.13267564696661
Q9NUB1,25.226717644140056
Q9NR19,25.58842356687436
Q9H6R3,23.92433193542192
P68133,23.313802170576068
P62736,28.244282772739474
P60709,32.88658599928122
Q562R1,27.168133506998693
P63261,26.10743566079523
P63267,31.311116703196376
O96019,26.36739281207526
O94805,20.0924360526403
Q9H568,16.797889393133097
Q5BKX5,20.57613104575682
P12814,30.44345926882509
P35609,25.27868063707827
Q08043,24.8120960139084
O43707,30.47267416879636
Q9NZ32,25.28743478245096
P61163,28.263758095921425
P42025,25.73365812931918
P61160,28.32507652758104
P61158,29.097953231586303
Q9P1U1,23.43664761360679
Q9H9F9,22.878302273889584
Q9GZN1,20.60669130610965
Q9H981,23.26275229703809
Q8TDG2,20.274169499987355
Q04771,22.24203477596796
P27037,20.23285775827152
P37023,18.41419634180404
Q03154,27.396167514581737
Q96HD9,23.52823692375964
P07311,25.10314464641301
P14621,23.62300057216412
P00813,25.967849254406858
Q9NZK5,24.154199524034286
Q6DHV7,23.531880802367883
O14672,25.272502375973826
O43184,16.007349612401512
Q13444,21.811319927403844
P78536,24.50904171832873
Q9H013,21.205902420462976
Q9P0K1,21.19111586876132
O75077,13.39584125490716
Q9UKQ2,21.11211630068116
P78325,20.396524934489584
Q13443,24.439867691190447
O15204,20.60772502869336
Q9UHI8,18.916747516052244
P58397,23.703387144410524
Q76LX8,17.541331588726447
Q8TE57,15.598561189509752
O95450,22.31331901179354
O15072,11.78235353128452
O75173,21.89039346711602
Q9UNA0,19.302531393956265
Q9UKP4,21.2192989704156
Q9UP79,16.4657687196103
Q9P2N4,22.46441123842549
Q8N6G6,23.670557359695856
Q86TH1,26.96394654802874
P82987,22.20512163698816
Q6UY14,24.032158754177303
Q6ZMM2,20.356800835729228
O75689,24.196636137024743
Q9NPF8,22.17649768864944
P55265,27.182282438329427
P78563,24.544205042067148
Q9NS39,14.663587394252763
Q9BUB4,20.498696596436595
Q7Z6V5,20.0828639345814
Q96EY9,20.402924089942893
Q86TW2,19.988933051493905
Q7Z695,16.695445265009976
Q3MIX3,20.253084339865232
O95622,14.57024188379347
O43306,19.60514408015403
P51828,18.637111724495128
O60503,21.602500030179765
P18509,21.37664592659051
P35611,27.260557607082497
P35612,23.757029973961952
Q9UEY8,27.24158708787588
Q96PE1,24.17069793212092
Q8IWK6,14.962953353398309
Q6QNK2,11.78235353128452
Q9UHX3,19.40571776118844
Q9BY15,17.180397863200806
P48960,26.36313583448743
Q5T601,20.16804322649637
Q8IZF2,20.66631222153688
Q9Y653,22.81111477897521
Q8IZP9,20.73386716884226
Q86Y34,18.50857434458173
Q8IZF4,13.681823094268358
Q86SQ4,23.72453719415465
Q96K78,20.155106624052664
O95490,21.673391041602702
Q9HAR2,20.333802832743363
Q9HBW9,20.392843703518352
Q8WXG9,18.69447705599165
P07327,26.033397809788035
P00325,30.240000224988894
P00326,26.82041334210827
P08319,24.70575390114416
P11766,29.68429093077897
P28332,24.124886664930305
P40394,20.865330816565283
Q8IWW8,21.71070700066616
Q9BV57,25.34174597262517
Q15848,22.503944321634048
Q96A54,15.31448350839482
Q86V24,14.20743978414638
Q15847,28.42304715441555
Q9GZN8,24.335527660086324
P55263,26.30812530321939
P35318,16.07626041440223
Q9H2P0,24.939725340705984
Q6IQ32,20.495868983937505
Q96SZ5,25.645895763410927
Q9BRR6,24.43750101638568
P54922,24.916753626403647
Q9NX46,24.9241914413943
P08913,21.487009499469064
Q16186,27.55966693816412
P30566,26.49057441916014
Q8N142,23.856870631276287
P30520,26.39812620504207
Q8IUX7,28.019833239119016
Q6ZN18,16.80844240719253
Q8N556,24.880303535323097
Q8TED9,18.51688426849106
Q8N4X5,24.337811067779192
P55196,25.99577048648739
P51825,21.346350860405604
P51816,18.418901142501465
P51826,14.779106057847155
Q9UHB7,23.3894099572552
Q8WV93,23.52552478997136
Q8NB90,24.84816172085933
Q9BVQ7,24.35168794326395
Q9Y4W6,26.29561661484308
P43652,27.637307674217173
Q63HM1,22.366777340533087
Q6ULP2,24.767802825134908
P20933,23.32966404414588
Q9UPQ3,22.40417120070286
Q99490,23.426175383848047
Q96P47,24.524109385513707
P52594,26.489250781729293
O95081,25.22103047621052
Q8N302,20.14122011700975
Q53H12,25.12362024254594
P35573,26.109509365482296
Q9BSE5,23.467867222057063
Q9UL18,25.2001386786062
Q9UKV8,26.29295587801562
Q9H9G7,23.665515861633004
Q9HCK5,16.258598156739307
Q99943,24.02544526999633
O15120,23.46244900014113
Q9NRZ7,24.034835650911607
Q9NRZ5,19.554778903588392
Q9NUQ2,24.156431189720585
O00116,25.75694063602112
O95994,29.129001206474705
Q8TD06,25.771439936560668
O00468,27.64338095055617
P01019,26.37502736061145
Q9UPW5,21.756958667675555
Q6RW13,21.418449717680183
Q8WYP5,24.33700861501845
P23526,28.37239035758424
O43865,27.431545833559333
Q96HN2,25.60740952165245
Q5TGY3,21.68540906896833
Q8N157,15.475085360590167
Q09666,30.29194163724822
Q8IVF2,26.90765340651429
P35869,23.80271869669906
O95433,26.90836966014286
P02765,29.899181578152174
Q9NZD4,24.526223831800905
Q96BJ3,25.012223058443627
P55008,27.78249645655188
Q9BQI0,23.227026685910907
O95831,27.550790187673385
Q9BRQ8,24.785643144373665
Q9NVV5,19.64585211573488
Q12904,27.14681536746716
Q13155,26.9818771432458
O00170,26.50714315724192
Q9NX04,19.99818289824096
C9J069,22.09746684910429
Q96IF1,21.26544100855337
P00568,27.835062904716008
P54819,28.234839796097944
Q9UIJ7,27.247061452497167
P27144,25.90438896739227
Q9Y6K8,17.341032709648953
Q9Y3D8,21.93200980424333
Q92667,23.50520394970176
O43572,23.30257565860824
Q9UKA4,23.379712295651604
Q02952,27.56643338526516
Q12802,25.338645112909383
Q02040,24.34642060159485
Q9Y2D5,26.91282646989752
P24588,18.09413534561497
O43687,26.65255577076169
O43823,24.577437179561898
Q9ULX6,24.09137355409017
Q99996,26.502702752142685
Q9NQ31,18.16697271511136
Q7Z591,22.40163089338116
P14550,28.82913883112527
P15121,28.829997277904933
O60218,27.70920299566933
P52895,24.93747791512661
P42330,28.084166303204952
P17516,17.58708782155231
O43488,27.852427540638697
O95154,28.173204038133274
P31749,26.013685951925773
Q96B36,23.859732394188445
P31751,24.911892362718778
Q9Y243,23.31717293580134
Q9H8T0,22.991249447284737
P13716,26.98574054314198
P13196,21.84662271239912
P02768,33.10062471022228
Q13740,25.53542708368306
Q8IZ83,26.257391751638533
P54886,26.82993093992347
P00352,30.336813245596773
O94788,24.29475992261176
P47895,26.511169557814444
P30837,27.40056144978794
O75891,25.48110792342064
Q3SY69,27.990145346090205
P05091,28.704365233808456
P30838,24.21678437746647
P51648,25.701000752848906
P43353,23.215525817522103
P30038,26.23346303828917
P51649,26.482063585738327
Q02252,27.735878141405745
P49419,27.435051952116687
P49189,28.176649504435726
P04075,31.066235121564983
P05062,28.944203813205853
P09972,26.658904333693005
Q9BT22,24.44700423821068
Q5BKT4,18.33313372049213
Q2TAA5,23.508707882467046
Q9BV10,21.99923630820058
Q9NP73,23.660178315287133
Q96F25,21.547336473207885
Q9H553,25.176708531590343
Q92685,20.47866568759769
Q9Y673,24.98982998399017
Q9Y672,25.836466133657844
Q9BVK2,21.772254683411944
Q9H6U8,25.026196808004617
Q13686,18.8758595693562
Q6NS38,15.64317750598777
Q96Q83,20.96436678640418
Q9NXW9,21.65868671545388
Q6P6C2,24.116633635970004
Q3KRA9,17.1186965909444
Q9BT30,18.942072302868528
Q96BT7,21.059782451900222
Q8TCU4,22.01907843916804
P18054,12.375260287570628
O75342,24.065694638567315
P16050,23.043425158190747
O15296,21.252538949906963
P09917,26.023388155502435
P20292,26.74690128326937
P10696,20.07394956469601
P09923,20.963512998371705
Q96QP1,19.597393368382143
Q86TB3,15.180835894493995
Q96L96,20.69966755982181
P05186,24.24408585528085
P05187,23.539745997309662
Q96Q42,20.859052396910176
Q60I27,18.01767610031938
Q86V81,27.457791856484985
Q9UHK6,21.21920454167995
P02760,27.92983464913275
Q9C0C7,19.42680616141621
Q96NU7,20.623369671228016
Q9Y303,24.06071935276361
Q5JTC6,19.598572403434225
Q8N944,17.092759059248152
Q9UKV5,19.09063777753028
Q86WK6,22.77018404268679
Q86SJ2,18.48657950621195
Q9Y4X0,16.717239801641316
Q8IY45,18.1544930796242
Q4VCS5,23.293874486049145
Q8IY63,23.38987817146984
Q9Y2J4,20.288824232217927
P23109,12.802436572337532
Q01433,25.74276887305692
Q01432,25.88761920520262
P49418,23.18856190057788
P48728,24.87067306481191
P0DTE7,19.370893123353003
P04746,31.21870282990196
P19961,27.8690630780192
Q86W34,21.021174177950027
Q9H1A4,23.551117819557536
Q9UM13,23.019941357681024
Q9NYG5,16.068622120393496
Q9BS18,21.031301767262374
P60006,18.108271554394506
Q96DE5,21.17733102758612
Q9UJX6,22.721140482104595
Q9UJX5,22.426712063483016
Q9UJX4,23.74119375530332
Q9UJX3,24.161416951744865
P03950,26.95719670203136
Q9UNK9,18.010364846526638
Q5VTE6,21.676824211390034
Q15389,16.44083121274704
O15123,20.13912011488765
O95841,21.64886726163924
Q9UKU9,24.92986431847841
Q9Y5C1,18.804050534850056
Q9BY76,21.927035099445217
Q8NI99,14.804256837900752
P16157,26.578092847414208
Q01484,24.85777521067019
Q12955,25.473614826669586
Q9NU02,18.02455236336525
Q9P2R3,26.81819420929211
Q9HCJ1,17.642657263081983
Q8IWZ3,25.24925692195873
Q9P2G1,23.212231401025505
Q86XL3,24.82759180068035
Q8IV38,24.555798550701176
Q9NXR5,22.071534477938595
Q6UB99,23.622338766808447
Q6UB98,21.07313837980056
Q8IZ07,23.835566564403347
Q8N6S4,19.035155928046944
Q6ZTN6,19.951156227577684
Q6P6B7,20.19227945076556
O75179,24.2532770313622
