Proteina	Localizacion
x	
A0A075B6J1	Secreted {ECO:0000303|PubMed:20176268,
A0A087WSX0	Secreted {ECO:0000303|PubMed:20176268,
A0A0A0MS15	Secreted {ECO:0000303|PubMed:20176268,
A0A0A0MT89	Secreted {ECO:0000303|PubMed:20176268,
A0A0B4J1V0	Secreted {ECO:0000303|PubMed:20176268,
A0A0B4J1X5	Secreted {ECO:0000303|PubMed:20176268,
A0A0B4J1X8	Secreted {ECO:0000303|PubMed:20176268,
A0A0B4J1Y9	Secreted {ECO:0000303|PubMed:20176268,
A0A0J9YX35	Secreted {ECO:0000303|PubMed:20176268,
A0A0J9YXX1	Secreted {ECO:0000303|PubMed:20176268,
O00115	Lysosome.
O00425	Nucleus. Cytoplasm. Cytoplasm, P-body
O00469	Rough endoplasmic reticulum membrane; Peripheral
O14498	Secreted {ECO:0000305}.
O14960	Cytoplasm {ECO:0000269|PubMed:8877413}. Secreted
O15195	
O15427	Cell membrane {ECO:0000269|PubMed:10921872,
O43633	Late endosome membrane
O43653	Cell membrane {ECO:0000269|PubMed:9465086};
O60565	Secreted {ECO:0000305}.
O60635	Lysosome membrane {ECO:0000269|PubMed:19508227};
O75129	Membrane {ECO:0000250|UniProtKB:Q80Z10}; Multi-
O75342	Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00726}.
O75363	Cytoplasm {ECO:0000269|PubMed:14567997}.
O75718	Secreted, extracellular space, extracellular
O95171	Cytoplasm. Membrane. Note=May become cross-linked
O95715	Secreted.
O95833	Nucleus. Membrane; Single-pass membrane protein.
O95857	Membrane {ECO:0000305}; Multi-pass membrane
O95965	Secreted {ECO:0000305}.
O95967	Secreted, extracellular space, extracellular
O95994	Secreted {ECO:0000269|PubMed:15834940}.
O95998	Secreted {ECO:0000269|PubMed:31213488}.
P00736	Secreted {ECO:0000269|PubMed:27745832}.
P00749	Secreted {ECO:0000269|PubMed:24434139}.
P01344	Secreted {ECO:0000269|PubMed:16040806}.
P01591	Secreted {ECO:0000250|UniProtKB:P01592}.
P01706	Secreted {ECO:0000303|PubMed:20176268,
P01709	Secreted {ECO:0000303|PubMed:20176268,
P01717	Secreted {ECO:0000303|PubMed:20176268,
P01718	Secreted {ECO:0000303|PubMed:20176268,
P01764	Secreted {ECO:0000303|PubMed:20176268,
P01766	Secreted {ECO:0000303|PubMed:20176268,
P01780	Secreted {ECO:0000303|PubMed:20176268,
P01782	Secreted {ECO:0000303|PubMed:20176268,
P01814	Secreted {ECO:0000303|PubMed:20176268,
P01876	[Isoform 1]: Secreted
P02452	Secreted, extracellular space, extracellular
P02461	Secreted, extracellular space, extracellular
P02538	
P02649	Secreted {ECO:0000269|PubMed:2498325,
P02751	Secreted, extracellular space, extracellular
P02774	Secreted {ECO:0000269|PubMed:2423133}.
P02792	
P03973	Secreted {ECO:0000269|PubMed:2039600,
P04155	Secreted {ECO:0000269|PubMed:15924415,
P04259	
P05121	Secreted {ECO:0000269|PubMed:2430793}.
P05161	Cytoplasm {ECO:0000269|PubMed:22859821}. Secreted
P06703	Nucleus envelope. Cytoplasm. Cell membrane;
P06731	Cell membrane {ECO:0000269|PubMed:10864933,
P07996	Secreted {ECO:0000269|PubMed:101549,
P08134	Cell membrane {ECO:0000305}; Lipid-anchor
P08174	[Isoform 1]: Cell membrane; Single-pass type I
P08253	[Isoform 1]: Secreted, extracellular space,
P08476	Secreted.
P08493	Secreted.
P08637	Cell membrane {ECO:0000269|PubMed:1825220,
P08727	
P08729	Cytoplasm {ECO:0000269|PubMed:2459129}.
P08779	
P09237	Secreted, extracellular space, extracellular
P09486	Secreted, extracellular space, extracellular
P10915	Secreted, extracellular space, extracellular
P11166	Cell membrane {ECO:0000269|PubMed:18245775,
P12035	
P12107	Secreted, extracellular space, extracellular
P12838	Secreted {ECO:0000250|UniProtKB:Q01523}.
P13611	Secreted, extracellular space, extracellular
P13674	Endoplasmic reticulum lumen.
P13688	[Isoform 1]: Cell membrane
P13987	Cell membrane; Lipid-anchor, GPI-anchor.
P14091	Endosome {ECO:0000269|PubMed:7983070}. Note=The
P14406	Mitochondrion inner membrane
P15153	Cytoplasm. Note=Membrane-associated when
P15313	Apical cell membrane
P15559	Cytoplasm, cytosol
P16035	Secreted.
P17301	Membrane; Single-pass type I membrane protein.
P17342	Cell membrane {ECO:0000269|PubMed:30032985};
