ProteinID	Gene.Symbol	Log2FoldChange	adjusted_p_value
1	P00746	CFD	0.590670100891408	2.85486913867262e-06
2	P01031	C5	0.654815573690634	0.000229586060503517
3	P01034	CST3	0.576895164385991	0.00124178432461848
4	P01133	EGF	-0.884712357129079	1.7180755424355e-06
5	P02647	APOA1	0.870404662570309	0.000343003612798499
6	P02741	CRP	0.269268572030615	0.00612716865339844
7	P02774	GC	1.0398151029196	4.7084788139561e-06
8	P02776	PF4	-0.560879331826612	0.00637256500340301
9	P02786	TFRC	0.924121026282616	4.43457071829973e-10
10	P03950	ANG	0.773845766201308	6.68228940590852e-09
11	P04085	PDGFA	-0.577099430863594	8.97442562034098e-06
12	P05121	SERPINE1	1.23643468870197	2.54130977411195e-05
13	P05362	ICAM1	0.632119111694511	3.37409754791178e-06
14	P07996	THBS1	1.63457919432147	4.17143818573308e-09
15	P10145	CXCL8	0.527449449824609	3.85469394620856e-05
16	P17936	IGFBP3	1.03266482976602	8.2781992064929e-10
17	P18065	IGFBP2	-1.48265575795409	1.51266598391355e-08
18	P18510	IL1RN	1.50781495912302	4.43457071829973e-10
19	P19320	VCAM1	0.443751885774766	0.00150839818034702
20	P42830	CXCL5	1.3220270320672	1.12641849696185e-05
21	P48061	CXCL12	-1.30692001490587	1.40650521891982e-09
22	P78556	CCL20	-0.347732654251676	0.00318995499296044
23	P80188	LCN2	0.904693630898851	7.63924786994278e-09
24	Q03405	PLAUR	0.860965985265626	2.04820092008115e-06
25	Q06520	SULT2A1	-0.552541052168248	0.00137003881612745
26	Q07654	TFF3	0.77132159007289	0.0015852717686526
27	Q12884	FAP	0.907742656852122	1.01071181987282e-08
28	Q14005	IL16	0.41448766986737	0.00691438037272063
29	Q14116	IL18	0.564906550903075	7.67337032578863e-06
30	Q8TAD2	IL17D	-0.110981881099018	0.0054054225861651
31	Q9HD89	RETN	0.54129395763109	0.00398745554928781
